recall: 68.041237, precision: 5.892857, f_1 measure: 10.846343
recall: 98.644986, precision: 73.983740, f_1 measure: 84.552846
recall: 95.505618, precision: 68.714632, f_1 measure: 79.924777
recall: 94.250707, precision: 81.168831, f_1 measure: 87.221980
recall: 62.132753, precision: 81.571429, f_1 measure: 70.537369
recall: 73.760933, precision: 65.714286, f_1 measure: 69.505495
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 83.760684, precision: 8.361775, f_1 measure: 15.205586
recall: 97.297297, precision: 3.266788, f_1 measure: 6.321335
recall: 100.000000, precision: 17.063492, f_1 measure: 29.152542
recall: 48.837209, precision: 9.545455, f_1 measure: 15.969582
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 100.000000, precision: 41.496599, f_1 measure: 58.653846
recall: 96.288660, precision: 40.432900, f_1 measure: 56.951220
recall: 100.000000, precision: 22.417582, f_1 measure: 36.624776
recall: 51.851852, precision: 8.421053, f_1 measure: 14.489004
recall: 100.000000, precision: 65.951359, f_1 measure: 79.482759
recall: 97.727273, precision: 74.434088, f_1 measure: 84.504913
recall: 72.881356, precision: 88.965517, f_1 measure: 80.124224
recall: 80.200000, precision: 60.300752, f_1 measure: 68.841202
recall: 65.413534, precision: 71.020408, f_1 measure: 68.101761
recall: 93.554502, precision: 58.750000, f_1 measure: 72.175503
recall: 100.000000, precision: 2.976744, f_1 measure: 5.781391
recall: 51.908397, precision: 6.699507, f_1 measure: 11.867365
recall: 40.718563, precision: 8.095238, f_1 measure: 13.505462
recall: 40.825688, precision: 8.476190, f_1 measure: 14.037855
recall: 28.378378, precision: 3.870968, f_1 measure: 6.812652
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 98.984772, precision: 27.857143, f_1 measure: 43.478261
recall: 43.250689, precision: 9.202814, f_1 measure: 15.176414
recall: 42.857143, precision: 5.798319, f_1 measure: 10.214656
recall: 100.000000, precision: 50.892099, f_1 measure: 67.454955
recall: 80.285036, precision: 38.628571, f_1 measure: 52.160494
recall: 75.391499, precision: 74.065934, f_1 measure: 74.722838
recall: 77.345538, precision: 77.257143, f_1 measure: 77.301315
recall: 78.519062, precision: 67.316153, f_1 measure: 72.487310
recall: 76.859504, precision: 94.897959, f_1 measure: 84.931507
recall: 50.000000, precision: 6.917293, f_1 measure: 12.153236
recall: 76.190476, precision: 6.177606, f_1 measure: 11.428571
